0,1,2,3,4,5,6
Vejen,"[0, 5, 548, 531, 725, 1007, 1057, 2592]","[160, 373, 1139, 694, 1003, 2709, 3576, 3830]","[850, 1090, 1128, 957, 1122, 1260, 347, 116]","[1981, 2034, 734, 1525, 1825, 727, 76, 25]","[1131, 1383, 301, 685, 887, 253, 39, 18]","[497, 542, 267, 316, 308, 130, 44, 11]"
Rødovre,"[0, 2, 876, 716, 706, 1201, 1400, 2686]","[271, 429, 1667, 974, 837, 2094, 2407, 2478]","[1096, 948, 1109, 1221, 1041, 1131, 287, 108]","[2266, 1741, 675, 1692, 1825, 640, 85, 30]","[975, 910, 286, 576, 717, 205, 32, 17]","[435, 458, 376, 359, 291, 126, 50, 71]"
Nordfyns,"[0, 3, 259, 271, 479, 794, 846, 1872]","[99, 250, 626, 455, 719, 2098, 2790, 2942]","[559, 749, 702, 621, 821, 917, 241, 91]","[1342, 1573, 469, 1020, 1429, 511, 62, 23]","[617, 785, 213, 354, 526, 167, 37, 18]","[213, 285, 236, 182, 178, 73, 29, 17]"
Ballerup,"[0, 7, 984, 656, 813, 1386, 1378, 3386]","[325, 610, 1550, 880, 1055, 2725, 2962, 4171]","[1216, 1337, 1270, 1267, 1372, 1567, 377, 152]","[2471, 2330, 755, 1783, 2185, 967, 91, 35]","[1080, 1186, 356, 623, 863, 281, 43, 24]","[461, 472, 215, 299, 308, 113, 53, 43]"
Tårnby,"[0, 0, 573, 482, 615, 1112, 1272, 2602]","[227, 510, 1092, 834, 973, 2550, 2908, 2964]","[1018, 1099, 1069, 1100, 1309, 1304, 436, 172]","[2502, 2163, 635, 1843, 2304, 763, 114, 41]","[1065, 946, 290, 589, 829, 221, 57, 28]","[423, 469, 381, 348, 348, 183, 84, 34]"
Odsherred,"[0, 7, 313, 320, 521, 1102, 1423, 2983]","[140, 334, 655, 398, 799, 2179, 3359, 4078]","[555, 750, 730, 619, 802, 1071, 435, 207]","[939, 1182, 469, 756, 1024, 484, 117, 75]","[518, 646, 214, 325, 434, 162, 57, 29]","[344, 411, 218, 207, 245, 99, 57, 21]"
Ærø,"[0, 21, 103, 53, 104, 254, 316, 737]","[25, 47, 101, 63, 146, 490, 703, 832]","[69, 100, 120, 70, 115, 148, 69, 33]","[149, 151, 45, 110, 128, 56, 14, 7]","[87, 97, 12, 44, 68, 20, 2, 2]","[49, 57, 16, 26, 16, 8, 4, 0]"
København,"[5, 46, 21960, 16873, 19674, 18308, 16152, 9406]","[4943, 6482, 35835, 16835, 21932, 19893, 13348, 3239]","[20351, 11297, 31175, 15183, 11941, 3798, 1201, 255]","[28577, 17023, 23542, 20653, 7560, 1539, 449, 95]","[10960, 9048, 7757, 8044, 2570, 576, 206, 57]","[5082, 5033, 6408, 4460, 2226, 729, 266, 66]"
Halsnæs,"[0, 3, 226, 255, 414, 796, 1066, 2309]","[129, 281, 590, 408, 694, 1915, 2709, 3167]","[569, 787, 736, 664, 904, 1113, 472, 281]","[1102, 1338, 528, 840, 1254, 596, 182, 77]","[583, 711, 295, 399, 500, 259, 95, 52]","[374, 360, 288, 308, 307, 203, 95, 47]"
Lolland,"[0, 10, 577, 578, 907, 1630, 2042, 3970]","[237, 405, 920, 654, 1054, 2932, 4220, 4648]","[685, 958, 796, 786, 980, 1043, 386, 158]","[1256, 1374, 523, 940, 1111, 506, 91, 33]","[729, 811, 218, 439, 507, 162, 45, 12]","[341, 394, 207, 212, 220, 132, 30, 19]"
