sogn_idx,sogn,kommune,kommune_idx,landsdel,landsdel_idx,region,region_idx,land,land_idx
1124,8634,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1125,7725,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
1126,9142,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
1127,8500,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1128,8449,Brønderslev,11,Fyn,7,Syddanmark,3,Danmark,1
1129,7728,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
1130,7784,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
1131,9312,Kalundborg,48,Københavns omegn,2,Hovedstaden,1,Danmark,1
1132,8761,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
1133,7458,Frederikssund,23,Østsjælland,5,Sjælland,2,Danmark,1
1134,8151,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
1135,7716,Ærø,98,Østjylland,10,Midtjylland,4,Danmark,1
1136,7873,Kerteminde,49,Østjylland,10,Midtjylland,4,Danmark,1
1137,8448,Brønderslev,11,Fyn,7,Syddanmark,3,Danmark,1
1138,8432,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1139,7934,Kolding,50,Nordjylland,11,Nordjylland,5,Danmark,1
1140,7870,Kerteminde,49,Østjylland,10,Midtjylland,4,Danmark,1
1141,7322,Slagelse,80,Københavns omegn,2,Hovedstaden,1,Danmark,1
1142,8355,Vesthimmerlands,95,Fyn,7,Syddanmark,3,Danmark,1
1143,8675,Morsø,61,Fyn,7,Syddanmark,3,Danmark,1
1144,9098,Helsingør,34,Østsjælland,5,Sjælland,2,Danmark,1
1145,7867,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
1146,7256,Odsherred,68,Københavns omegn,2,Hovedstaden,1,Danmark,1
1147,9138,Esbjerg,14,Nordjylland,11,Nordjylland,5,Danmark,1
1148,8979,Haderslev,31,Nordjylland,11,Nordjylland,5,Danmark,1
1149,7376,Ringsted,72,Københavns omegn,2,Hovedstaden,1,Danmark,1
1150,8187,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
1151,8224,Syddjurs,86,Vestjylland,9,Midtjylland,4,Danmark,1
1152,7088,København,51,Nordsjælland,3,Hovedstaden,1,Danmark,1
1153,7476,Vordingborg,97,Københavns omegn,2,Hovedstaden,1,Danmark,1
1154,7826,Middelfart,60,Østjylland,10,Midtjylland,4,Danmark,1
1155,8652,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
