"Voksne 1. januar efter tid, alder, område og antal personer i husstand "

" "," "," ","1 person","2 personer","3 personer","4 personer","5 personer","6 personer og derover"
"2020"
" ","Under 20 år"
" "," ","Aabenraa",838,919,1147,1892,787,280
" "," ","Favrskov",446,697,1099,2141,719,266
" "," ","Hedensted",463,721,1007,1747,723,299
" "," ","Horsens",1434,1875,2386,3741,1269,500
" "," ","Norddjurs",527,590,786,1045,400,202
" "," ","Odder",254,317,482,822,258,128
" "," ","Randers",1791,2058,2115,3345,1140,446
" "," ","Samsø",33,52,65,62,40,26
" "," ","Silkeborg",1270,1602,2227,3683,1376,452
" "," ","Skanderborg",588,906,1604,3177,980,260
" "," ","Syddjurs",404,633,920,1430,534,269
" "," ","Aarhus",7702,10135,9632,11748,4024,2871
" "," ","Herning",1402,1542,2016,3203,1357,473
" "," ","Holstebro",910,960,1221,2155,985,332
" "," ","Ikast-Brande",605,699,1011,1624,640,257
" "," ","Lemvig",245,261,310,523,230,107
" "," ","Ringkøbing-Skjern",717,795,994,1763,961,386
" "," ","Skive",797,727,831,1459,616,148
" "," ","Struer",305,304,386,571,279,78
" "," ","Viborg",1552,1669,2034,3557,1415,553
" "," ","Brønderslev",442,564,804,1402,519,155
" "," ","Frederikshavn",896,949,1141,1809,692,228
" "," ","Hjørring",896,1008,1237,2062,778,327
" "," ","Jammerbugt",442,572,784,1291,523,192
" "," ","Læsø",18,18,18,14,14,9
" "," ","Mariagerfjord",635,692,872,1309,504,163
" "," ","Morsø",286,289,348,551,279,105
" "," ","Rebild",313,522,769,1421,476,138
" "," ","Thisted",619,635,796,1411,677,225
" "," ","Vesthimmerlands",487,594,733,1296,494,227
" "," ","Aalborg",4770,5320,5217,7393,2316,894
" ","40-49 år"
" "," ","København",16873,16835,15183,20653,8044,4460
" "," ","Frederiksberg",2495,2757,2702,3933,1279,524
" "," ","Dragør",123,218,451,950,306,133
" "," ","Tårnby",615,973,1309,2304,829,348
" "," ","Albertslund",423,539,698,1080,592,333
" "," ","Ballerup",813,1055,1372,2185,863,308
" "," ","Brøndby",578,736,911,1274,567,449
" "," ","Gentofte",1118,1262,1670,3812,2007,915
" "," ","Gladsaxe",1277,1324,1718,3371,1342,459
" "," ","Glostrup",505,507,625,1027,349,191
" "," ","Herlev",484,607,698,1391,501,192
" "," ","Hvidovre",843,1113,1463,2601,983,470
" "," ","Høje-Taastrup",866,1117,1342,2233,976,676
" "," ","Ishøj",337,523,534,850,507,301
" "," ","Lyngby-Taarbæk",900,947,1232,2996,1180,335
" "," ","Rødovre",706,837,1041,1825,717,291
" "," ","Vallensbæk",179,287,480,855,333,201
" "," ","Allerød",204,409,631,1627,643,197
" "," ","Egedal",421,851,1413,2892,926,302
" "," ","Fredensborg",506,811,1093,2077,759,292
" "," ","Frederikssund",594,930,1286,2059,865,406
" "," ","Furesø",412,640,955,2350,1079,343
" "," ","Gribskov",390,819,1099,1691,782,482
" "," ","Halsnæs",414,694,904,1254,500,307
" "," ","Helsingør",955,1247,1543,2848,1044,512
" "," ","Hillerød",737,964,1374,2572,1014,452
" "," ","Hørsholm",288,427,599,1316,505,173
" "," ","Rudersdal",600,851,1245,3179,1375,465
" "," ","Bornholm",680,953,1031,1149,553,224
" "," ","Christiansø",1,0,3,3,6,0
" "," ","Greve",571,1085,1489,2713,892,454
" "," ","Køge",913,1342,1793,3057,1044,543
" "," ","Lejre",256,546,816,1576,591,287
" "," ","Roskilde",1288,1700,2225,4581,1758,624
" "," ","Solrød",300,441,720,1478,465,114
" "," ","Faxe",561,942,1079,1566,569,282
" "," ","Guldborgsund",1137,1521,1548,2016,764,357
" "," ","Holbæk",1162,1718,1988,3057,1201,539
" "," ","Kalundborg",905,1218,1341,1777,710,308
" "," ","Lolland",907,1054,980,1111,507,220
" "," ","Næstved",1524,2051,2379,3347,1231,531
" "," ","Odsherred",521,799,802,1024,434,245
" "," ","Ringsted",606,972,1066,1662,578,353
" "," ","Slagelse",1579,1881,2101,2921,1135,556
" "," ","Sorø",508,762,820,1365,492,218
" "," ","Stevns",287,547,654,989,370,199
" "," ","Vordingborg",816,1092,1192,1521,562,332
" "," ","Assens",654,981,1124,1807,747,195
" "," ","Faaborg-Midtfyn",856,1169,1288,2203,827,342
" "," ","Kerteminde",353,538,659,1001,357,122
" "," ","Langeland",224,280,269,364,135,59
" "," ","Middelfart",636,937,1034,1834,710,207
" "," ","Nordfyns",479,719,821,1429,526,178
" "," ","Nyborg",599,774,855,1270,540,135
" "," ","Odense",3979,3937,4345,7736,3065,1105
" "," ","Svendborg",997,1146,1323,2343,992,339
" "," ","Ærø",104,146,115,128,68,16
" "," ","Billund",450,583,681,1136,526,180
" "," ","Esbjerg",2117,2399,2640,4506,1974,529
" "," ","Fanø",58,69,78,123,53,24
" "," ","Fredericia",1205,1196,1336,2095,813,308
" "," ","Haderslev",988,1213,1302,2168,1001,333
" "," ","Kolding",1719,1970,2253,4528,1801,483
" "," ","Sønderborg",1279,1559,1792,3007,1203,380
" "," ","Tønder",601,721,756,1119,686,217
" "," ","Varde",796,979,1070,1951,1102,350
" "," ","Vejen",725,1003,1122,1825,887,308
" "," ","Vejle",2026,2481,2681,5529,2432,709
" "," ","Aabenraa",1026,1278,1425,2334,1011,326
" "," ","Favrskov",710,996,1317,2919,1251,328
" "," ","Hedensted",653,1039,1370,2331,942,362
" "," ","Horsens",1603,2034,2317,4309,1649,495
" "," ","Norddjurs",670,869,921,1197,564,203
" "," ","Odder",321,473,521,1095,461,147
" "," ","Randers",2114,2390,2418,4250,1717,433
" "," ","Samsø",63,88,66,104,40,24
" "," ","Silkeborg",1442,1979,2295,4688,2089,581
" "," ","Skanderborg",843,1206,1591,3916,1560,358
" "," ","Syddjurs",611,939,1028,1955,842,278
" "," ","Aarhus",5870,6034,6401,12113,5208,2391
" "," ","Herning",1570,1726,2025,4022,1900,606
" "," ","Holstebro",984,1054,1215,2468,1230,365
" "," ","Ikast-Brande",670,866,1011,1852,896,294
" "," ","Lemvig",291,334,382,672,443,137
" "," ","Ringkøbing-Skjern",880,1044,1165,2141,1464,457
" "," ","Skive",880,964,973,1698,929,245
" "," ","Struer",409,428,486,809,416,103
" "," ","Viborg",1720,1918,2215,4392,1974,609
" "," ","Brønderslev",586,782,900,1647,675,181
" "," ","Frederikshavn",1048,1434,1471,2123,797,281
" "," ","Hjørring",1127,1408,1506,2398,1178,379
" "," ","Jammerbugt",616,813,1001,1573,733,216
" "," ","Læsø",28,58,36,49,18,8
" "," ","Mariagerfjord",762,913,978,1706,704,233
" "," ","Morsø",371,418,424,616,338,131
" "," ","Rebild",362,618,752,1530,662,169
" "," ","Thisted",699,804,981,1546,828,257
" "," ","Vesthimmerlands",642,772,857,1337,652,204
" "," ","Aalborg",3986,4323,4750,8135,3228,881
" ","50-59 år"
" "," ","København",19674,21932,11941,7560,2570,2226
" "," ","Frederiksberg",3440,4213,2281,1405,350,216
" "," ","Dragør",221,864,559,376,102,86
" "," ","Tårnby",1112,2550,1304,763,221,183
" "," ","Albertslund",772,1301,795,512,197,124
" "," ","Ballerup",1386,2725,1567,967,281,113
" "," ","Brøndby",925,1844,1062,659,225,170
" "," ","Gentofte",2042,3516,2639,2082,767,362
" "," ","Gladsaxe",1934,3235,2068,1370,381,217
" "," ","Glostrup",751,1239,636,329,118,98
" "," ","Herlev",775,1541,865,519,127,68
" "," ","Hvidovre",1369,2685,1526,913,274,224
" "," ","Høje-Taastrup",1200,2469,1523,933,380,294
" "," ","Ishøj",522,1146,669,430,164,134
" "," ","Lyngby-Taarbæk",1548,2631,1802,1273,371,133
" "," ","Rødovre",1201,2094,1131,640,205,126
" "," ","Vallensbæk",273,788,452,295,103,70
" "," ","Allerød",483,1488,1093,728,208,95
" "," ","Egedal",750,2789,1676,1120,309,211
" "," ","Fredensborg",1013,2316,1453,1024,288,184
" "," ","Frederikssund",1082,2995,1716,1065,345,226
" "," ","Furesø",823,2254,1431,1126,322,123
" "," ","Gribskov",878,2622,1609,960,366,375
" "," ","Halsnæs",796,1915,1113,596,259,203
" "," ","Helsingør",1970,3838,2154,1374,463,302
" "," ","Hillerød",1221,2963,1796,1253,388,237
" "," ","Hørsholm",595,1333,902,679,161,76
" "," ","Rudersdal",1209,2854,2175,1583,476,201
" "," ","Bornholm",1372,3088,1046,471,149,89
" "," ","Christiansø",1,11,1,2,0,0
" "," ","Greve",979,3135,1807,1170,325,268
" "," ","Køge",1567,3673,2105,1262,351,325
" "," ","Lejre",481,1742,1005,723,192,203
" "," ","Roskilde",2233,5045,2916,1961,558,365
" "," ","Solrød",411,1383,832,556,126,48
" "," ","Faxe",1002,2498,1268,646,232,172
" "," ","Guldborgsund",2116,4011,1638,854,295,184
" "," ","Holbæk",1927,4454,2262,1395,440,322
" "," ","Kalundborg",1644,3224,1470,818,234,163
" "," ","Lolland",1630,2932,1043,506,162,132
" "," ","Næstved",2439,5218,2522,1292,424,304
" "," ","Odsherred",1102,2179,1071,484,162,99
" "," ","Ringsted",917,2172,1121,662,182,148
" "," ","Slagelse",2476,4841,2281,1168,400,282
